RUN,TOTAL_TRIGGERS
3844,113866
3843,76568
3842,130768
3841,162765
3840,67723
3837,119568
3836,104565
3835,9177
3834,206879
3833,84195
3832,1330
3829,134196
3828,152554
3825,18192
3823,1037
3822,0
3821,0
3820,0
3818,6499
3817,38063
3816,1570
3815,4521
3814,101573
3811,8766
3809,210
3803,39
3800,51808
3799,5612
3798,221
3796,38776
3795,47982
3794,72825
3791,22814
3786,60191
3785,5017
3784,10890
3783,36648
3779,13180
3778,20758
3777,81902
3776,140720
3775,0
3774,185864
3773,33916
3771,81730
3766,15372
3765,0
3763,115761
3760,96437
3758,47713
3756,141715
3754,67156
3752,58954
3751,109334
3750,170365
3744,44470
3743,187182
3742,83519
3741,117875
3738,58207
3737,62577
3732,31185
3725,99176
3724,103677
3723,8518
3717,111850
3716,7599
3708,14201
3695,100540
3690,0
3689,97805
3688,45313
3685,0
3684,0
3681,0
3680,0
3679,0
3675,15758
3672,44843
3670,117571
3668,133824
3667,116401
3663,6596
3662,69664
3660,5809
3659,25563
3658,28199
3657,13450
3653,123333
3649,198751
3646,28159
3644,123335
3641,95566
3639,106132
3638,59806
3637,174557
3636,2185
3634,24518
3633,112569
3632,6398
3631,2512
3627,118132
3626,134032
3625,3374
3624,22291
3623,46290
3616,9172
3613,1287
3612,18545
3611,13070
3604,66095
3601,59232
3599,0
3598,68519
3597,21492
3596,86169
3595,46817
3590,3334
3589,7025
3586,1414
3585,59261
3577,129203
3576,168174
3574,4026
3573,70858
3572,119316
3571,17754
3570,163191
3569,179652
3568,99399
3564,10568
3554,0
3544,104296
3539,3976
3538,4498
3537,20722
3535,13266
3534,72966
3531,38357
3530,43626
3529,9206
3528,8268
3526,191311
3525,149370
3524,6376
3523,114760
3522,164862
3519,1350
3506,34574
3504,7914
3499,17310
3498,76680
3497,235681
3494,44250
3493,5475
3492,3860
3491,276686
3490,114455
3489,151500
3488,60148
3487,19114
3483,35131
3482,51570
3481,263782
3478,6562
3477,199064
3476,50393
3475,32297
3474,114027
3472,15420
3471,114970
3470,134381
3469,51560
3465,140458
3464,32087
3463,16216
3462,71343
3461,839
3459,0
3456,0
3452,0
3450,0
3449,75052
3448,40583
3447,60500
3445,0
3442,36709
3441,75978
3440,26086
3438,11331
3437,180888
3436,8613
3435,36267
3434,113313
3432,100844
3429,11424
3422,72575
3421,6988
3420,5765
3419,69508
3418,43650
3417,15490
3416,63950
3415,12594
3414,17090
3413,16522
3412,8235
3411,54318
3409,70474
3408,18375
3406,9128
3405,293628
3404,7368
3403,22128
3400,130242
3398,6238
3396,69670
3395,36670
3394,4966
3393,95564
3392,141195
3391,87672
3390,8796
3389,240820
3388,292136
3375,122261
3373,3042
3372,124063
3371,152908
3369,874
3368,0
3366,45005
3365,31803
3364,91610
3362,100154
3361,68555
3360,43774
3356,8165
3355,141788
3354,134860
3353,19389
3350,35492
3349,3592
3348,3526
3346,0
3343,0
3338,0
3336,0
3335,0
3334,0
3333,0
3332,7604
3331,0
3328,0
3326,0
3325,0
3323,22917
3320,2463
3319,89645
3316,128381
3312,9093
3309,48227
3308,80369
3306,1368
3304,0
3267,0
3263,0
3257,0
3256,0
3252,129770
3250,136261
3247,124641
3246,186202
3243,238177
3242,105973
3241,184204
3239,141692
3237,102378
3236,182912
3233,152845
3224,99499
3223,162167
3222,137669
3220,32481
3219,33658
3218,170691
3217,58507
3216,141849
3215,10976
3211,17228
3209,68536
3207,27552
4450,0
4449,0
4448,0
4447,301
4446,15
4445,0
4444,0
4443,0
4441,0
4438,0
4437,121753
4434,160391
4433,183692
4432,138228
4431,89380
4429,627
4428,111372
4427,2070
4426,71943
4424,116785
4422,8
4418,0
4416,0
4410,0
4406,135988
4404,309995
4403,16297
4402,21827
4401,21598
4400,164689
4399,133
4398,6543
4397,141377
4395,15188
4394,115217
4390,755566
4389,328528
4386,170812
4385,13722
4384,293192
4382,7732
4381,0
4377,0
4376,0
4370,0
4369,0
4368,0
4362,0
4358,0
4356,0
4354,0
4348,0
4346,0
4345,0
4339,0
4337,0
4336,0
4335,0
4334,118178
4331,223894
4324,1150882
4321,115
4319,121470
4317,22915
4316,161937
4200,45987
4197,113005
4196,6428
4195,610236
4194,443384
4191,175950
4189,0
4188,437
4183,0
4182,575
4180,591
4173,0
4172,0
4171,0
4169,132
4168,0
4145,0
4140,0
4139,0
4136,0
4135,0
4134,0
4132,0
4131,0
4129,0
4126,0
4123,0
4122,0
4121,0
4120,0
4119,0
4111,0
